,id,cluster,#move,#stay_move,#unique_loc,radius,area,stay_t,frequency,d_home,center,counts_near_home
0,7586595,5,19,3.8,7,23.966275915153787,0.0025765473022041933,14.677722222222224,5,0.5723803667171523,"(33.96646520142556, -112.73307564511019)",14
1,7586595,2,94,94.0,12,23.90186173611368,2.3367409422333543,621.3413888888889,1,13.139814232319363,"(34.04916824456292, -112.63539740884275)",86
2,7586595,4,5,5.0,3,0.014491699684694964,0,6.646944444444444,1,64.88790864612241,"(33.54123175486088, -112.26030579794742)",0
3,7586595,0,33,6.6,11,11.941372906942998,1.8555038598456666,50.476222222222226,5,5.879357657995096,"(33.95016987707707, -112.67898658943247)",27
4,7586595,6,6,6.0,4,41.76045202440517,0,59.505,1,42.50441204891864,"(33.66952146965738, -112.45156303204556)",1
5,7586595,1,24,24.0,6,1.904054632282393,0.001453737666467575,68.9011111111111,1,90.45457271782624,"(33.44878968097512, -111.98619474661321)",0
6,7586595,3,7,7.0,5,9.992491582784833,0,56.88333333333333,1,71.92288060232649,"(33.58559115541155, -112.11139591769728)",0
0,7586598,0,36,1.7142857142857142,7,6.191615221925257,0.2543172651548129,10.989166666666668,21,4.353994728145621,"(39.96846384590414, -82.9250527232086)",29
1,7586598,1,33,2.0625,5,3.9039853865572964,0.002498520944286422,9.176892361111111,16,0.07356826802501736,"(39.97028275308541, -82.87478049048958)",31
2,7586598,4,44,2.0,7,2.910029086218098,0.002940447538315205,17.57962121212121,22,0.05089061007835033,"(39.97013932038285, -82.87456884227717)",42
3,7586598,5,47,3.9166666666666665,7,0.024278073983662152,0.001578740034212532,99.24810185185186,12,0.049665620031435445,"(39.970293334841735, -82.8744395076734)",47
4,7586598,6,6,6.0,4,0.016240115785679597,0,44.70777777777778,1,1574.0704449391212,"(26.00209590000051, -80.11669522429885)",0
0,7586600,2,52,2.888888888888889,11,0.02731729999714367,0.0017591635146691602,16.760910493827158,18,0.09429149460651592,"(35.47266421419247, -77.41664729999371)",52
1,7586600,1,4,4.0,3,0.025703125220739715,0,7.856944444444444,1,0.15442116371293746,"(35.473080034732114, -77.41707196501987)",4
2,7586600,5,88,4.888888888888889,7,0.43595868112058983,0.004844378307021257,75.74310185185186,18,0.09968209275593307,"(35.47196380222616, -77.41709986759054)",85
3,7586600,0,4,4.0,4,0.014876439892008417,0,14.829166666666667,1,0.5452794257508172,"(35.467450782339036, -77.41375195952355)",4
4,7586600,4,51,17.0,9,1.9096235320939916,0.09079491438864529,215.24537037037035,3,11.32732528406163,"(35.57134736814628, -77.38832350287261)",0
5,7586600,6,11,11.0,5,0.6679239260665515,0.0008974757655510155,17.704166666666666,1,339.0370854142441,"(35.26535691269015, -81.14673592232117)",0
0,7586608,1,16,8.0,9,1.6253024454937648,0.07284640688559134,194.00291666666666,2,1.125550750065939,"(40.91184354420738, -73.998466216739)",9
1,7586608,2,41,13.666666666666666,10,3.0415944694262094,0.12368351459116766,128.31490740740742,3,3.3106651385322503,"(40.88528948651212, -74.02063820801693)",29
2,7586608,3,14,4.666666666666667,6,0.016817672950738424,0.0009123616986154979,35.783796296296295,3,332.8439731644562,"(39.030161642468585, -77.03627086103202)",0
3,7586608,4,12,12.0,6,0.5337358450930154,0.034873706620124956,210.68666666666667,1,0.36160503069065264,"(40.90445363186322, -73.98573938161319)",10
4,7586608,5,12,12.0,6,0.3780139270196138,0.012613340499736218,175.3947222222222,1,0.14410780021615552,"(40.90280229351549, -73.98934498266766)",10
5,7586608,6,22,22.0,6,0.1049582280349264,0.0014197536463113412,1687.2005555555556,1,0.12933646468167392,"(40.904853569913286, -73.98895455453413)",22
6,7586608,7,69,34.5,12,0.49199486744231236,0.060184454157078834,327.32680555555555,2,0.2541365791163167,"(40.906187381024935, -73.98912344798633)",65
7,7586608,0,18,18.0,5,2.358534651432818,0.15074673333827915,102.43111111111111,1,1.8693499673850806,"(40.908152600466494, -74.01155447789876)",16
0,7586611,0,19,19.0,6,1.1419656542650694,0.05277080834104388,91.73166666666667,1,1419.2525253746846,"(45.09229599169676, -87.64290501784528)",0
1,7586611,1,12,12.0,4,0.012930835532562255,0,49.90888888888889,1,1417.7264301574628,"(45.06965177887791, -87.63600609148176)",0
2,7586611,2,55,13.75,13,8.150818907554436,0.3714588561731753,347.8890277777778,4,1140.8711882340522,"(42.20580733991273, -88.53873296300516)",0
3,7586611,3,33,33.0,18,0.0464500181156995,0.0036786286163278115,91.065,1,1250.4553345310558,"(33.76143292386725, -84.38328818227939)",0
4,7586611,4,14,14.0,12,15.321678073125833,1.5201415183945126,116.44083333333333,1,2542.1207634861044,"(48.59415713626396, -122.90697476689718)",0
5,7586611,6,52,52.0,10,3.3164545206926634,0.1413274329902378,95.95083333333334,1,2134.590482940867,"(38.6739738797144, -121.55863809699416)",0
6,7586611,7,18,18.0,4,0.598737017571628,0,91.53138888888888,1,526.6867349800262,"(35.15360119520969, -103.72313002190725)",0
7,7586611,8,29,14.5,9,5.916565843332758,0.08751834086734242,56.630972222222226,2,1073.5246615457074,"(42.75399226731508, -105.3823052935915)",0
8,7586611,9,45,45.0,10,0.9558603436384142,0.08452405052819167,250.62972222222223,1,0.6452740249001969,"(35.02330191453356, -97.94290559018543)",36
9,7586611,10,40,40.0,10,17.133147247079528,1.0808959189505882,256.8538888888889,1,1620.835219903521,"(38.11667974046773, -80.16909839424557)",0
10,7586611,5,17,17.0,10,9.019281921427222,0.5038471794144583,84.4186111111111,1,1507.2498521336304,"(44.79317548078524, -85.6323195387343)",0
0,7586629,0,69,4.928571428571429,8,11.982994929684194,0.5536366194355884,46.80001984126983,14,14.118935771925944,"(32.69188464435181, -97.24235400634878)",0
1,7586629,1,40,4.0,14,1.679136038826666,0.2858388794538063,162.99319444444444,10,24.36572908672649,"(32.845414943130926, -97.1637295966399)",0
2,7586629,4,4,4.0,4,5.278905763177637,0,146.12444444444444,1,3.926062030628674,"(32.59933427498288, -97.12854223192537)",0
3,7586629,2,89,11.125,16,3.0544874123436427,0.5621574916131246,55.23802083333333,8,0.7352260933864835,"(32.637593938312754, -97.11058069917286)",85
0,7586634,0,29,5.8,11,1.651308592343482,0.13882242846578358,16.414055555555557,5,1.3970193555615407,"(33.438523491501556, -88.85854873891701)",25
1,7586634,4,44,8.8,11,1.773118775788137,0.1440371330929415,47.55088888888889,5,0.752142020025506,"(33.43563377916288, -88.86493007656551)",35
2,7586634,5,5,5.0,5,0.03293125251158569,0.0013939545012625464,7.487777777777778,1,0.026196582683426617,"(33.43516078279626, -88.87320634645512)",5
3,7586634,1,33,11.0,12,5.879813167455876,0.9076800370750231,277.5682407407407,3,9.09302082613319,"(33.453042607549044, -88.77741288201005)",2
4,7586634,2,18,4.5,6,0.018196113794698168,0.0009607297234222429,19.08597222222222,4,219.45444424491012,"(31.55621192205618, -89.58962662214864)",0
